order_id,product_id,store_id
450,P0005,S0142
451,P0390,S0095
452,P0277,S0082
453,P0399,S0113
454,P0092,S0008
455,P0160,S0108
456,P0348,S0012
457,P0321,S0122
458,P0140,S0004
459,P0658,S0002
460,P0514,S0135
461,P0157,S0041
462,P0148,S0008
463,P0499,S0117
464,P0211,S0013
465,P0427,S0025
466,P0377,S0119
467,P0483,S0095
468,P0551,S0138
469,P0171,S0008
470,P0131,S0022
471,P0312,S0043
472,P0611,S0106
473,P0402,S0013
474,P0103,S0124
475,P0171,S0080
476,P0438,S0019
477,P0655,S0062
478,P0364,S0095
479,P0602,S0117
480,P0454,S0142
481,P0131,S0038
482,P0735,S0010
483,P0213,S0115
484,P0652,S0035
485,P0389,S0091
486,P0500,S0096
487,P0655,S0088
488,P0681,S0016
489,P0417,S0020
490,P0438,S0096
491,P0658,S0028
492,P0223,S0094
493,P0499,S0027
494,P0406,S0094
495,P0311,S0052
496,P0413,S0020
497,P0213,S0108
498,P0663,S0038
499,P0678,S0050
500,P0201,S0139
501,P0569,S0029
502,P0652,S0139
503,P0639,S0038
504,P0614,S0094
505,P0712,S0115
506,P0114,S0122
507,P0055,S0086
508,P0116,S0026
509,P0611,S0021
510,P0470,S0106
511,P0260,S0122
512,P0015,S0068
513,P0655,S0115
514,P0536,S0083
515,P0109,S0043
516,P0654,S0110
517,P0635,S0062
518,P0726,S0023
519,P0412,S0096
520,P0017,S0073
521,P0583,S0097
522,P0504,S0031
523,P0196,S0052
524,P0585,S0031
525,P0114,S0139
526,P0125,S0063
527,P0510,S0023
528,P0435,S0034
529,P0448,S0095
530,P0500,S0040
531,P0066,S0038
532,P0017,S0026
533,P0436,S0003
534,P0726,S0096
535,P0572,S0001
536,P0726,S0126
537,P0569,S0062
538,P0389,S0094
539,P0125,S0006
540,P0325,S0008
541,P0364,S0044
542,P0343,S0115
543,P0614,S0103
544,P0046,S0103
545,P0691,S0001
546,P0280,S0117
547,P0637,S0108
548,P0144,S0115
549,P0079,S0010
550,P0556,S0026
551,P0689,S0009
552,P0015,S0088
553,P0372,S0052
554,P0590,S0021
555,P0602,S0130
556,P0425,S0106
557,P0611,S0103
558,P0427,S0138
559,P0110,S0090
560,P0590,S0102
561,P0590,S0049
562,P0103,S0032
563,P0402,S0010
564,P0017,S0012
565,P0297,S0113
566,P0707,S0085
567,P0015,S0030
568,P0178,S0090
569,P0297,S0024
570,P0660,S0108
571,P0341,S0038
572,P0671,S0095
573,P0327,S0084
574,P0231,S0066
575,P0297,S0043
576,P0171,S0003
577,P0035,S0031
578,P0639,S0034
579,P0325,S0135
580,P0046,S0012
581,P0438,S0116
582,P0364,S0063
583,P0147,S0018
584,P0260,S0106
585,P0092,S0073
586,P0499,S0099
587,P0267,S0026
588,P0436,S0009
589,P0499,S0025
590,P0060,S0045
591,P0400,S0016
592,P0325,S0104
593,P0555,S0132
594,P0267,S0094
595,P0252,S0028
596,P0311,S0027
597,P0587,S0106
598,P0277,S0096
599,P0296,S0068
600,P0503,S0108
601,P0131,S0022
602,P0134,S0056
603,P0201,S0090
604,P0325,S0026
605,P0171,S0099
606,P0420,S0070
607,P0427,S0119
608,P0453,S0001
609,P0448,S0082
610,P0437,S0090
611,P0408,S0023
612,P0364,S0080
613,P0614,S0099
614,P0642,S0066
615,P0483,S0131
616,P0237,S0062
617,P0114,S0086
618,P0296,S0066
619,P0241,S0142
620,P0712,S0020
621,P0261,S0039
622,P0681,S0131
623,P0333,S0070
624,P0015,S0077
625,P0660,S0035
626,P0287,S0001
627,P0694,S0033
628,P0393,S0090
629,P0569,S0038
630,P0050,S0038
631,P0569,S0080
632,P0103,S0108
633,P0272,S0026
634,P0438,S0063
635,P0473,S0050
636,P0258,S0142
637,P0664,S0086
638,P0154,S0013
639,P0321,S0139
640,P0590,S0067
641,P0055,S0113
642,P0103,S0124
643,P0504,S0126
644,P0296,S0013
645,P0427,S0135
646,P0051,S0088
647,P0412,S0107
648,P0109,S0122
649,P0681,S0053
650,P0536,S0038
651,P0664,S0078
652,P0196,S0056
653,P0356,S0082
654,P0536,S0032
655,P0435,S0080
656,P0099,S0018
657,P0436,S0096
658,P0572,S0115
659,P0279,S0132
660,P0690,S0008
661,P0206,S0032
662,P0144,S0024
663,P0345,S0008
664,P0435,S0023
665,P0011,S0066
666,P0311,S0094
667,P0055,S0020
668,P0311,S0085
669,P0662,S0088
670,P0500,S0142
671,P0109,S0082
672,P0055,S0070
673,P0206,S0031
